time_oslo,artist,title,spotify,youtube
2026-08-28 08:26:39,Tobias Sten,Hånd i hånd,,https://www.youtube.com/watch?v=OVFQHELNJDg
2026-08-28 08:33:53,Kelly Clarkson,Because Of You,spotify:track:56UN5g6bYFy1wLBSt9e789,https://www.youtube.com/watch?v=Ra-Om7UMSJc&feature=youtube_gdata_player
2026-08-28 08:54:14,Jonas Fjeld & Lynni Treekrem,Engler I Sneen,,https://www.youtube.com/watch?v=_46wnWOECck&feature=youtube_gdata_player
2026-08-28 09:05:42,Jørn Hoel,Har en drøm,spotify:track:6OdmWiwcBCi8lfk6xhhKem,https://www.youtube.com/watch?v=Y8m2f9SnQ6g&feature=youtube_gdata_player
2026-08-28 09:09:41,Ulf Lundell,Öppna Landskap,spotify:track:1rudppuYTKpVCtWoocDiS1,https://www.youtube.com/watch?v=uuOUev9EgI8&feature=youtube_gdata_player
2026-08-28 09:15:26,Elton John,Candle In The Wind,spotifyv2-ZZ:track:spotify:track:3UhnMyiGYB7tqqJY7yNFKT,https://www.youtube.com/watch?v=NoOhnrjdYOc
2026-08-28 09:19:08,Halvdan Sivertsen,Sommerfuggel I Vinterland,spotify:track:2H9Csy75rOVfA62zpBmkzU,https://www.youtube.com/watch?v=tR5TFQh2eMc&feature=youtube_gdata_player
2026-08-28 09:25:15,The Beatles,Yesterday,spotify:track:70amysvQ129AXb29wbPQPf,https://www.youtube.com/watch?v=XNnaxGFO18o&feature=youtube_gdata_player
2026-08-28 09:27:16,Secret Garden,Nocturne,spotify:track:0FmFwU0yu7005BUNO7b2rt,https://www.youtube.com/watch?v=fd3a189vcVc&feature=youtube_gdata_player
2026-08-28 09:36:53,John Williams,"Cavatina (Tema fra ""Hjortejegern"")",,
2026-08-28 09:40:59,Jahn Teigen,Det vakreste som fins,spotify:track:540RHDIFG7xAtbYS0ay42d,https://www.youtube.com/watch?v=r9eL8IRt4Kw&feature=youtube_gdata_player
2026-08-28 09:46:50,Josh Groban,You Raise Me Up,spotify:track:45BmeITuhHgg5iWCAAaU7P,https://www.youtube.com/watch?v=aJxrX42WcjQ&feature=youtube_gdata_player
2026-08-28 09:50:45,Eric Clapton,Tears In Heaven,spotify:track:1kgdslQYmeTR4thk9whoRw,https://www.youtube.com/watch?v=VRsJlAJvOSM&feature=youtube_gdata_player
2026-08-28 09:56:27,Emma Steinbakken,Jeg glemmer deg aldri (fra Rådebank),,https://www.youtube.com/watch?v=dys15rYMTfw
2026-08-28 10:07:21,Simon & Garfunkel,Bridge Over Troubled Water,spotify:track:0wqrXvy9UI8s4PVi954MTw,https://www.youtube.com/watch?v=H_a46WJ1viA&feature=youtube_gdata_player
2026-08-28 10:12:01,Jahn Teigen & Anita Skorgan,Adieu,,https://www.youtube.com/watch?v=ra5EM4b25AA&feature=youtube_gdata_player
2026-08-28 10:14:15,Jørn Hoel,Ei Hand Å Holde I,spotify:track:777Uyhun9rXPwmPbkxFu7a,https://www.youtube.com/watch?v=uAvukBIzVv8&feature=youtube_gdata_player
2026-08-28 10:19:56,Cecilia Vennersten,Det Vackraste,,https://www.youtube.com/watch?v=9PojP6lCRq0&feature=youtube_gdata_player
2026-08-28 10:23:14,Hellbillies,Den Finast Eg Veit,spotifyv2-ZZ:track:spotify:track:3NQDZSM47zCMao3GFkcqaV,https://www.youtube.com/watch?v=VPUdMY6EsX0&feature=youtube_gdata_player
2026-08-28 10:26:57,Tommy Nilsson,Öppna Din Dörr,spotify:track:2c0mjg1Ori1ZqVyU1kp6Q1,https://www.youtube.com/watch?v=JlK1H2_aBh8&feature=youtube_gdata_player
2026-08-28 10:33:31,Sting,Fields Of Gold,spotify:track:1VI7sH93UcY0stZYVqvMoH,https://www.youtube.com/watch?v=KLVq0IAzh1A&feature=youtube_gdata_player
2026-08-28 10:37:02,John Lennon,Imagine,spotify:track:2tpAJ2XgEVZggkE2izL6ll,https://www.youtube.com/watch?v=XLgYAHHkPFs&feature=youtube_gdata_player
2026-08-28 10:42:10,Bob Dylan,Blowin' In The Wind,spotify:track:45xWBubNgQp0IIaiQAlt1I,https://www.youtube.com/watch?v=IUX9IcSzHX0&feature=youtube_gdata_player
2026-08-28 10:44:50,Josh Groban,Ave Maria,spotify:track:7grcyKyYbHzb81Y1dGkh8y,https://www.youtube.com/watch?v=Cgyy8u3zcf8&feature=youtube_gdata_player
2026-08-28 10:49:52,Åge Aleksandersen,Lys Og Varme,spotify:track:2vQhkgDKP6ichisFj1AMim,https://www.youtube.com/watch?v=5RtOdtqbSQA&feature=youtube_gdata_player
2026-08-28 10:54:49,Ole Paus,Mitt Lille Land,spotify:track:1G85T0ZSAzZumlD0I9hGPd,https://www.youtube.com/watch?v=yxPJVWb8YN4&feature=youtube_gdata_player
2026-08-28 11:08:34,Bjørn Eidsvåg,Eg Ser,spotify:track:0U44H4Ok510flMt8bypiwM,https://www.youtube.com/watch?v=qYnzDqJqGwM&feature=youtube_gdata_player
2026-08-28 11:12:10,Odd Nordstoga,Ein farfar i livet,,https://www.youtube.com/watch?v=cydInv_Rcz8
2026-08-28 11:15:45,Sigvart Dagsland,Alt Eg Såg,spotify:track:168nBsOxoW98xI9RzIRw7K,https://www.youtube.com/watch?v=Wnq-S14TtuY&feature=youtube_gdata_player
2026-08-28 11:21:29,Marit Larsen,Vår Beste Dag,spotify:track:2RssYUkYzmEtvxmUX0C19A,https://www.youtube.com/watch?v=byrBsfMsPmY&feature=youtube_gdata_player
2026-08-28 11:25:42,Björn Afzelius,Tusen bitar,spotify:track:5JOhGClDjtzouQuEOMmNPb,https://www.youtube.com/watch?v=-u-ZcFgDj-4&feature=youtube_gdata_player
2026-08-28 11:34:36,Vamp med Rita Eriksen,Tir n'a noir,,https://www.youtube.com/watch?v=zdWP4XPNmns&feature=youtube_gdata_player
2026-08-28 11:39:22,Halvdan Sivertsen,Kjærlighetsvisa,spotify:track:4nhBMh4m6JXfqeUktEXGrP,https://www.youtube.com/watch?v=nh23KWgbGxw&feature=youtube_gdata_player
2026-08-28 11:42:38,Leonard Cohen,Hallelujah,spotify:track:3a1HY1vAKItKCK2I5cgavn,https://www.youtube.com/watch?v=YrLk4vdY28Q&feature=youtube_gdata_player
2026-08-28 11:48:08,Cat Stevens,Morning Has Broken,spotify:track:1xY7DqZ8OBcvHIXilqbhsv,https://www.youtube.com/watch?v=FP7Ry9MfkQU&feature=youtube_gdata_player
2026-08-28 11:51:04,Kari Bremnes,E Du Nord,,https://www.youtube.com/watch?v=kS4xw6CH_yc
2026-08-28 11:56:02,Susan Boyle,Memory,,https://www.youtube.com/watch?v=PQWJ_qJ1unc
2026-08-28 12:05:14,Kurt Nilsen & Helene Bøksle,Gje Me Handa Di Venn,,https://www.youtube.com/watch?v=bPtVeIbAbs4
2026-08-28 12:08:49,Sigmund Groven/Henning Sommerro,Vårsøg,,https://www.youtube.com/watch?v=xu9t5ii0yJk&feature=youtube_gdata_player
2026-08-28 12:12:31,Jahn Teigen,Min Første Kjærlighet,spotify:track:25277MomrCxEtzwC1TPZOt,https://www.youtube.com/watch?v=-ycFYM5M6lM&feature=youtube_gdata_player
2026-08-28 12:15:40,Lillebjørn Nilsen,Barn Av Regnbuen,spotify:track:53GiiBCwGcdXoJwZR9awFM,https://www.youtube.com/watch?v=REbrReiAA8c&feature=youtube_gdata_player
2026-08-28 12:20:12,Jørn Hoel,Har en drøm,spotify:track:6OdmWiwcBCi8lfk6xhhKem,https://www.youtube.com/watch?v=Y8m2f9SnQ6g&feature=youtube_gdata_player
2026-08-28 12:23:58,Ulf Lundell,Öppna Landskap,spotify:track:1rudppuYTKpVCtWoocDiS1,https://www.youtube.com/watch?v=uuOUev9EgI8&feature=youtube_gdata_player
2026-08-28 12:28:31,Elton John,Candle In The Wind,spotifyv2-ZZ:track:spotify:track:3UhnMyiGYB7tqqJY7yNFKT,https://www.youtube.com/watch?v=NoOhnrjdYOc
2026-08-28 12:33:15,Halvdan Sivertsen,Sommerfuggel I Vinterland,spotify:track:2H9Csy75rOVfA62zpBmkzU,https://www.youtube.com/watch?v=tR5TFQh2eMc&feature=youtube_gdata_player
2026-08-28 12:38:06,The Beatles,Yesterday,spotify:track:70amysvQ129AXb29wbPQPf,https://www.youtube.com/watch?v=XNnaxGFO18o&feature=youtube_gdata_player
2026-08-28 12:40:59,John Williams,"Cavatina (Tema fra ""Hjortejegern"")",,
2026-08-28 12:45:04,Jahn Teigen,Det vakreste som fins,spotify:track:540RHDIFG7xAtbYS0ay42d,https://www.youtube.com/watch?v=r9eL8IRt4Kw&feature=youtube_gdata_player
